Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Location,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapTime_Sec,FuelLoad,Track_Evolution_Physics,Traction_1_5,Asphalt_Grip_1_5,Asphalt_Abrasion_1_5,Track_Evolution_1_5,Tyre_Stress_1_5,Braking_1_5,Lateral_1_5,Downforce_1_5,Min_Pressure_Front_PSI,Min_Pressure_Rear_PSI,Compound_Hard,Compound_Medium,Compound_Soft,Circuit_Length_KM,Total_Laps,Cumulative_Field_Dist_KM,Compound_Hard_Int,Compound_Medium_Int,Compound_Soft_Int,Wear_Severity_Index,Track_Flow_Type,Compound_Int,E_lap,Gap_To_Car_Ahead,Grip_Aero_Balance,Total_Min_Pressure,Pressure_Delta,LatOffset_Mean,LatOffset_Std,Lap_Gap,Prev_LapTime,Lag_2,Rolling_Avg_3
0 days 01:17:54.804000,ALO,0 days 00:01:33.711000,10.0,1.0,MEDIUM,11.0,Aston Martin,Silverstone,21.3,55.0,1001.2,False,29.2,202,3.7,93.711,89.03846153846153,2203.234,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1101.617,1,2,3,15,0.8333333333333334,2,30.779240907097254,1.8880169810284453,0.6,49.5,3.5,0.31009891101056447,0.35365419393658026,1.0,93.657,94.019,94.10699999999999
0 days 01:19:28.541000,ALO,0 days 00:01:33.737000,11.0,1.0,MEDIUM,12.0,Aston Martin,Silverstone,21.3,55.0,1001.2,False,29.1,175,3.0,93.737,86.9423076923077,2427.092,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1213.546,1,2,3,15,0.8333333333333334,2,30.211544278238303,2.167004628758394,0.6,49.5,3.5,0.346432927425509,0.3909842158133009,1.0,93.711,93.657,93.79566666666666
0 days 01:21:02.492000,ALO,0 days 00:01:33.951000,12.0,1.0,MEDIUM,13.0,Aston Martin,Silverstone,21.3,55.0,1001.2,False,29.1,187,4.5,93.951,84.84615384615384,2650.95,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1325.475,1,2,3,15,0.8333333333333334,2,30.834521807332216,2.3261722531440006,0.6,49.5,3.5,0.4217732488506833,0.4609473023614341,1.0,93.737,93.711,93.70166666666667
0 days 01:22:36.057000,ALO,0 days 00:01:33.565000,13.0,1.0,MEDIUM,14.0,Aston Martin,Silverstone,21.4,57.0,1001.5,False,28.8,205,4.5,93.565,82.75,2874.808,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1437.404,1,2,3,15,0.8333333333333334,2,30.422631706785204,2.831973501737335,0.6,49.5,3.5,0.337162393982204,0.3852699659655863,1.0,93.951,93.737,93.79966666666667
0 days 01:24:09.937000,ALO,0 days 00:01:33.880000,14.0,1.0,MEDIUM,15.0,Aston Martin,Silverstone,21.4,58.0,1001.5,False,28.7,191,3.7,93.88,80.65384615384616,3098.666,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1549.333,1,2,3,15,0.8333333333333334,2,30.5710713921278,3.8786690937776918,0.6,49.5,3.5,0.34241689652427265,0.3852867220844366,1.0,93.565,93.951,93.75099999999999
0 days 01:25:43.673000,ALO,0 days 00:01:33.736000,15.0,1.0,MEDIUM,16.0,Aston Martin,Silverstone,20.9,61.0,1001.5,False,27.7,255,2.5,93.736,78.5576923076923,3322.524,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1661.262,1,2,3,15,0.8333333333333334,2,30.543659788538974,4.2661288214390245,0.6,49.5,3.5,0.41927036032039267,0.49661435308606067,1.0,93.88,93.565,93.79866666666665
0 days 01:27:17.110000,ALO,0 days 00:01:33.437000,16.0,1.0,MEDIUM,17.0,Aston Martin,Silverstone,20.5,63.0,1001.5,False,27.8,241,1.8,93.437,76.46153846153845,3546.382,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1773.191,1,2,3,15,0.8333333333333334,2,30.123328170892044,4.332594888991784,0.6,49.5,3.5,0.35767781227802803,0.4390784579003765,1.0,93.736,93.88,93.72699999999999
0 days 01:28:50.298000,ALO,0 days 00:01:33.188000,17.0,1.0,MEDIUM,18.0,Aston Martin,Silverstone,20.1,63.0,1001.4,False,27.9,222,2.2,93.188,74.36538461538461,3770.24,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1885.12,1,2,3,15,0.8333333333333334,2,30.719045210413768,4.696209833584269,0.6,49.5,3.5,0.3332272493254172,0.36800477076314647,1.0,93.437,93.736,93.68433333333333
0 days 01:30:23.615000,ALO,0 days 00:01:33.317000,18.0,1.0,MEDIUM,19.0,Aston Martin,Silverstone,20.1,64.0,1001.5,False,28.3,229,2.4,93.317,72.26923076923077,3994.098,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,1997.049,1,2,3,15,0.8333333333333334,2,30.516957105708027,4.374442249047327,0.6,49.5,3.5,0.49314440676550675,0.6939202133914882,1.0,93.188,93.437,93.45366666666666
0 days 01:31:56.800000,ALO,0 days 00:01:33.185000,19.0,1.0,MEDIUM,20.0,Aston Martin,Silverstone,20.1,64.0,1001.4,False,28.9,239,3.4,93.185,70.17307692307692,4206.174,3,3,3,2,5,2,5,4,26.5,23.0,C1,C2,C3,5.891,52,2103.087,1,2,3,15,0.8333333333333334,2,30.58642179974671,4.81956167225619,0.6,49.5,3.5,0.3169243707874717,0.38853760598351883,1.0,93.317,93.188,93.31400000000001
